timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12020796,-878,-794,-1525,1153,1101,-1744
12020806,-717,-823,-1323,1190,675,-2155
12020816,-650,-861,-1187,1122,190,-2496
12020826,-623,-922,-1124,793,-414,-2799
12020836,-679,-977,-1159,288,-1232,-3072
12020846,-881,-814,-1389,-422,-2076,-3489
12020856,-1086,-605,-1581,-1118,-2595,-3984
12020866,-1232,-2,-1953,-1660,-2738,-4282
12020876,-1308,293,-2157,-1413,-2141,-4178
12020886,-1224,365,-2099,-898,-1205,-3801
12020896,-1184,310,-1992,-350,-507,-3437
12020906,-1090,78,-1957,-8,-371,-3452
12020916,-1215,892,-2455,53,-668,-3826
12020926,-1302,457,-2384,513,-653,-3953
12020936,-1663,590,-2873,1848,-569,-4340
12020946,-2044,628,-3047,2165,235,-5013
12020956,-2254,809,-3212,2415,1218,-5289
12020966,-2420,767,-3378,2874,2459,-5443
12020976,-2314,1125,-3372,2227,3476,-5378
12020973,-2314,1124,-3371,2227,3475,-5222
12020983,473,2158,-2463,1764,5021,-4305
12020993,-2483,745,-4059,4703,2045,-4792
12021003,-2251,-1591,-4058,5911,-173,-4815
12021013,-1879,1171,-2888,280,2722,-3567
12021023,-1940,1186,-3484,-139,2051,-2005
12021033,-2147,985,-3577,761,2428,-1982
12021043,-1870,856,-3312,784,3000,-1470
12021053,-1706,786,-3119,797,3370,-937
12021063,-1614,303,-3031,776,3750,-552
12021073,-1730,62,-2829,111,4523,-261
12021083,-1412,25,-2414,-641,5407,-123
12021093,-1021,163,-2196,-1156,5800,-93
12021103,-977,103,-1949,-1571,5830,20
12021113,-465,165,-1675,-1985,5890,241
12021123,-630,89,-1629,-2270,5579,615
12021133,-715,121,-1485,-2258,5276,970
12021143,-506,2,-1263,-1927,5233,1374
12021153,-442,-149,-1170,-1495,5252,1706
12021163,-363,-335,-1004,-1497,5348,1969
12021173,-357,-400,-877,-1638,5371,2218
12021183,-240,-654,-709,-1402,5412,2257
